uid,year,data_year,country,area,fsw_sizeestimate_region,area.notes,method,PopSize,PopSize_notes,Prevalence,pse,type.of.uncertainty.measure,lower.uncertainty.measure,upper.uncertainty.measure,sample_size,requirement,notes,link,public,UID,title,ISO,adm1_geocode,iso_geocode
Ghana4,2015,2014,Ghana,District,Bawku West,,Mapping,,,,65,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bawku West,GHA
Ghana4,2015,2014,Ghana,District,Bekwai Municipal,,Mapping,,,,255,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bekwai Municipal,GHA
Ghana4,2015,2014,Ghana,District,Berekum Municipal,,Mapping,,,,152,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Berekum,GHA
Ghana4,2015,2014,Ghana,District,Bia East,,Mapping,,,,35,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bia West,GHA
Ghana4,2015,2014,Ghana,District,Bia west,,Mapping,,,,212,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bia West,GHA
Ghana4,2015,2014,Ghana,District,Biakoye,,Mapping,,,,77,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Kwaebibirem,GHA
Ghana4,2015,2014,Ghana,District,Binduri,,Mapping,,,,71,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Binduri,GHA
Ghana4,2015,2014,Ghana,District,Birim Municipal,,Mapping,,,,170,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Birim South,GHA
Ghana4,2015,2014,Ghana,District,Birim North,,Mapping,,,,139,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Akyem Mansa,GHA
Ghana4,2015,2014,Ghana,District,Birim South,,Mapping,,,,278,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Birim South,GHA
Ghana4,2015,2014,Ghana,District,Bodi,,Mapping,,,,100,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bodi,GHA
Ghana4,2015,2014,Ghana,District,Bole,,Mapping,,,,180,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bole,GHA
Ghana4,2015,2014,Ghana,District,Bolgatanga Municipal,,Mapping,,,,350,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bolgatanga Municipal,GHA
Ghana4,2015,2014,Ghana,District,Bongo,,Mapping,,,,36,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bongo,GHA
Ghana4,2015,2014,Ghana,District,Bosome Freho,,Mapping,,,,36,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bosome Freho,GHA
Ghana4,2015,2014,Ghana,District,Bosumtwi,,Mapping,,,,55,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bosomtwe /Atwima / Kwanwoma,GHA
Ghana2,2011,2011,Ghana,Region,Brong Ahafo,,Census (Seaters),NR,,NR,65,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Kintampo South,GHA
Ghana3,2015,2014,Ghana,Region,Brong Ahafo,,Seaters (Census),NR,,NR,133,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Kintampo South,GHA
Ghana3,2015,2014,Ghana,Region,Brong Ahafo,,Roamers (CRC),NR,,NR,334,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Kintampo South,GHA
Ghana2,2011,2011,Ghana,Region,Brong Ahafo,,CRC (Roamers),NR,,NR,377,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Kintampo South,GHA
Ghana2,2011,2011,Ghana,Region,Brong Ahafo,,Delphi,NR,,NR,814,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using delphi method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Kintampo South,GHA
Ghana3,2015,2014,Ghana,Region,Brong Ahafo,,Roamers (Delphi),NR,,NR,1657,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Kintampo South,GHA
Ghana3,2015,2014,Ghana,Region,Brong Ahafo,,Roamers (CRM),NR,,NR,1931,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Kintampo South,GHA
Ghana2,2011,2011,Ghana,Region,Brong Ahafo,,Multiplier,NR,,NR,3291,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using multiplier method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Kintampo South,GHA
Ghana4,2015,2014,Ghana,Region,Brong Ahafo,,Mapping,,,,7667,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Kintampo South,GHA
Ghana3,2015,2014,Ghana,Region,Brong Ahafo,,"Census, mapping, key informant interviews",NR,,NR,8066,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Kintampo South,GHA
Ghana4,2015,2014,Ghana,District,Builsa North,,Mapping,,,,98,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Builsa South,GHA
Ghana4,2015,2014,Ghana,District,Builsa South,,Mapping,,,,42,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Builsa South,GHA
Ghana4,2015,2014,Ghana,District,Bunkpurugu Yonyo,,Mapping,,,,120,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Bunkpurugu Yonyo,GHA
Ghana4,2015,2014,Ghana,District,Cape Coast Metropolis,,Mapping,,,,1041,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Cape Coast Metro,GHA
Ghana2,2011,2011,Ghana,Region,Central,,Census (Seaters),NR,,NR,35,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Asikuma / Odoben / Brakwa,GHA
Ghana3,2015,2014,Ghana,Region,Central,,Seaters (Census),NR,,NR,40,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana3,2015,2014,Ghana,Region,Central,,Roamers (CRC),NR,,NR,421,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana2,2011,2011,Ghana,Region,Central,,CRC (Roamers),NR,,NR,461,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Asikuma / Odoben / Brakwa,GHA
Ghana2,2011,2011,Ghana,Region,Central,,Delphi,NR,,NR,578,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using delphi method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Asikuma / Odoben / Brakwa,GHA
Ghana3,2015,2014,Ghana,Region,Central,,Roamers (Delphi),NR,,NR,2076,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana3,2015,2014,Ghana,Region,Central,,"Census, mapping, key informant interviews",NR,,NR,2351,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana3,2015,2014,Ghana,Region,Central,,Roamers (CRM),NR,,NR,2890,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana2,2011,2011,Ghana,Region,Central,,Multiplier,NR,,NR,3405,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using multiplier method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Asikuma / Odoben / Brakwa,GHA
Ghana4,2015,2014,Ghana,Region,Central,,Mapping,,,,5337,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Asikuma / Odoben / Brakwa,GHA
Ghana4,2015,2014,Ghana,District,Central Tongu,,Mapping,,,,150,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,North Tongu,GHA
Ghana4,2015,2014,Ghana,District,Chereponi,,Mapping,,,,160,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Chereponi,GHA
Ghana4,2015,2014,Ghana,District,Daffiama Bussie,,Mapping,,,,57,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Daffiama Bussie,GHA
Ghana4,2015,2014,Ghana,District,Denkyembuor,,Mapping,,,,185,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Denkyembour,GHA
Ghana4,2015,2014,Ghana,District,Dormaa Central Municipal,,Mapping,,,,100,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Dormaa Municipal,GHA
Ghana4,2015,2014,Ghana,District,Dormaa Municipal,,Mapping,,,,333,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Dormaa Municipal,GHA
Ghana4,2015,2014,Ghana,District,Dormaa West,,Mapping,,,,100,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Dormaa Municipal,GHA
Ghana4,2015,2014,Ghana,District,East Akim Municipal,,Mapping,,,,297,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,East Akim,GHA
Ghana4,2015,2014,Ghana,District,East Gonja,,Mapping,,,,80,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,East Gonja,GHA
Ghana2,2011,2011,Ghana,Region,Eastern,,Census (Seaters),NR,,NR,36,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,East Akim,GHA
Ghana3,2015,2014,Ghana,Region,Eastern,,Seaters (Census),NR,,NR,41,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,East Akim,GHA
Ghana3,2015,2014,Ghana,Region,Eastern,,Roamers (CRC),NR,,NR,341,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,East Akim,GHA
Ghana2,2011,2011,Ghana,Region,Eastern,,CRC (Roamers),NR,,NR,511,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,East Akim,GHA
Ghana3,2015,2014,Ghana,Region,Eastern,,Roamers (Delphi),NR,,NR,1170,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,East Akim,GHA
Ghana3,2015,2014,Ghana,Region,Eastern,,Roamers (CRM),NR,,NR,2029,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,East Akim,GHA
Ghana2,2011,2011,Ghana,Region,Eastern,,Delphi,NR,,NR,2920,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using delphi method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,East Akim,GHA
Ghana4,2015,2014,Ghana,Region,Eastern,,Mapping,,,,4976,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,East Akim,GHA
Ghana3,2015,2014,Ghana,Region,Eastern,,"Census, mapping, key informant interviews",NR,,NR,9071,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,East Akim,GHA
Ghana2,2011,2011,Ghana,Region,Eastern,,Multiplier,NR,,NR,14432,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using multiplier method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,East Akim,GHA
Ghana4,2015,2014,Ghana,District,Effutu Municipal,,Mapping,,,,102,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Gomoa East,GHA
Ghana4,2015,2014,Ghana,District,Ejisu Juaben Municipal,,Mapping,,,,414,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ejisu Juaben,GHA
Ghana4,2015,2014,Ghana,District,Ejura Sekye Dumasi,,Mapping,,,,76,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ejura Sekye Dumase,GHA
Ghana4,2015,2014,Ghana,District,Ekumfi,,Mapping,,,,122,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ekumfi,GHA
Ghana4,2015,2014,Ghana,District,Ellembelle,,Mapping,,,,218,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ellembelle,GHA
Ghana4,2015,2014,Ghana,District,Ewutu Senya,,Mapping,,,,199,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Gomoa East,GHA
Ghana4,2015,2014,Ghana,District,Fanteakwa,,Mapping,,,,317,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Fanteakwa,GHA
Ghana4,2015,2014,Ghana,District,Ga Central Municipal,,Mapping,,,,799,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ga Central Municipal,GHA
Ghana4,2015,2014,Ghana,District,Ga East Municipal,,Mapping,,,,1003,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ga East,GHA
Ghana4,2015,2014,Ghana,District,Ga South Municipal,,Mapping,,,,1053,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ga South,GHA
Ghana4,2015,2014,Ghana,District,Ga West Municipal,,Mapping,,,,3658,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Ga South,GHA
Ghana4,2015,2014,Ghana,District,Garu Tempane,,Mapping,,,,300,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Garu Tempane,GHA
Ghana2,2011,2011,Ghana,National,Ghana,,Census (Seaters),NR,,NR,1114,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Atebubu Amantin,GHA
Ghana3,2015,2014,Ghana,National,Ghana,,Seaters (Census),NR,,NR,2319,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Atebubu Amantin,GHA
Ghana3,2015,2014,Ghana,National,Ghana,,Roamers (CRC),NR,,NR,4017,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Atebubu Amantin,GHA
Ghana2,2011,2011,Ghana,National,Ghana,,CRC (Roamers),NR,,NR,6117,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Atebubu Amantin,GHA
Ghana2,2011,2011,Ghana,National,Ghana,,Delphi,NR,,NR,10891,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using delphi method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Atebubu Amantin,GHA
Ghana3,2015,2014,Ghana,National,Ghana,,Roamers (Delphi),NR,,NR,15498,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Atebubu Amantin,GHA
Ghana3,2015,2014,Ghana,National,Ghana,,Roamers (CRM),NR,,NR,23653,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Atebubu Amantin,GHA
Ghana2,2011,2011,Ghana,National,Ghana,,Multiplier,NR,,NR,51937,NR,NR,NR,NR,"female adults who receive money or goods in exchange for sexual services, either regularly or occasionally",title not found but this research gate article quotes PSE for the various regions in ghana using multiplier method,researchgate.net/publication/267326357_Counting_that_Counts_Triangulated_Estimation_of_the_Population_Size_of_Female_Sex_Workers_in_Ghana,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Atebubu Amantin,GHA
Ghana4,2015,2014,Ghana,National,Ghana,,Mapping,,,,63475,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Atebubu Amantin,GHA
Ghana3,2015,2014,Ghana,National,Ghana,,"Census, mapping, key informant interviews",NR,,NR,65053,NR,NR,NR,,NR,,,0,,2015 MAPPING AND POPULATION SIZE ESTIMATION OF FEMALE SEX WORKERS IN GHANA (DRAFT),GHA,Atebubu Amantin,GHA
Ghana4,2015,2014,Ghana,District,Gomoa East,,Mapping,,,,205,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Gomoa East,GHA
Ghana4,2015,2014,Ghana,District,Gomoa West,,Mapping,,,,312,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Gomoa East,GHA
Ghana4,2015,2014,Ghana,District,Gonja Central,,Mapping,,,,204,,,,,"women age 16 and older who exchange sex for cash, goods, gifts, or services.  ",no link.  title not found,,0,,PROGRAMMATIC MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN GHANA (PRELIMINARY REPORT),GHA,Gonja Central,GHA
Ghana2,2011,2011,Ghana,Region,Greater Accra,,Census (Seaters),NR,,NR,630,,NR,NR,,"Female age 15 years or older who reports having received money or favour as a source of from someone other than established partner, in exchange for sexual services in the last 6 months",,,0,REPORTGHA12,2011 Mapping and Population Size Estimation of FSWs in Ghana,GHA,Ningo Prampram,GHA
